REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q37_PERSON_SERIAL_NO,Q37_READY_ACCEPT_JOB,Q38_REASON_FOR_NOT_ACCEPTING,Q39_EXPECT_EMPLOYMENT,Q40_EXPECT_SECTOR,Q41A_EXPECT_ANY_HELP,Q41B1_EXCEPT_ASSISTANCE_1ST,Q41B2_EXCEPT_ASSISTANCE_2ND,Q41B3_EXCEPT_ASSISTANCE_3RD,Q42_NATURE_OF_THE_JOB
10,2011,01,1,11,006,02,1,052,10, ,1, , , , , , ,    
10,2011,01,1,11,006,02,1,052,12, ,2, , , , , , ,    
10,2011,01,1,11,006,03,1,053,02, ,2, , , , , , ,    
10,2011,01,1,11,006,03,1,053,03, ,1, , , , , , ,    
10,2011,01,1,11,006,04,1,054,01, ,3, , , , , , ,    
10,2011,01,1,11,006,04,1,054,02, ,2, , , , , , ,    
10,2011,01,1,11,006,06,1,056,03, ,1, , , , , , ,    
10,2011,01,1,11,006,06,1,056,04, ,1, , , , , , ,    
10,2011,01,1,11,006,07,1,057,02, ,2, , , , , , ,    
10,2011,01,1,11,006,07,1,057,03, ,3, , , , , , ,    
10,2011,01,1,11,006,07,1,057,04, ,1, , , , , , ,    
10,2011,01,1,11,006,08,1,058,01, ,2, , , , , , ,    
10,2011,01,1,11,006,08,1,058,02, ,1, , , , , , ,    
10,2011,01,1,11,006,08,1,058,03, ,1, , , , , , ,    
10,2011,01,1,11,006,09,1,059,03, ,1, , , , , , ,    
10,2011,01,1,11,006,09,1,059,04, ,1, , , , , , ,    
10,2011,01,1,11,006,10,1,060,03, ,1, , , , , , ,    
10,2011,01,1,11,006,10,1,060,04, ,1, , , , , , ,    
10,2011,01,1,11,007,05,1,065,01, ,3, , , , , , ,    
10,2011,01,1,11,007,05,1,065,02, ,2, , , , , , ,    
10,2011,01,1,11,007,06,1,066,02, ,2, , , , , , ,    
10,2011,01,1,11,007,06,1,066,04, ,1, , , , , , ,    
10,2011,01,1,11,007,07,1,067,02, ,2, , , , , , ,    
10,2011,01,1,11,007,08,1,068,03, ,1, , , , , , ,    
10,2011,01,1,11,007,08,1,068,04, ,1, , , , , , ,    
10,2011,01,1,11,007,09,1,069,02, ,2, , , , , , ,    
10,2011,01,1,11,007,10,1,070,03, ,1, , , , , , ,    
10,2011,01,1,11,007,10,1,070,04, ,1, , , , , , ,    
10,2011,01,1,11,007,10,1,070,05, ,3, , , , , , ,    
10,2011,01,1,11,008,01,1,071,02, ,2, , , , , , ,    
10,2011,01,1,11,008,03,1,073,03, ,1, , , , , , ,    
10,2011,01,1,11,008,05,1,075,01, ,3, , , , , , ,    
10,2011,01,1,11,008,05,1,075,03, ,2, , , , , , ,    
10,2011,01,1,11,008,05,1,075,04, ,1, , , , , , ,    
10,2011,01,1,11,008,06,1,076,01, ,3, , , , , , ,    
10,2011,01,1,11,008,07,1,077,04, ,9, , , , , , ,    
10,2011,01,1,11,008,09,1,079,01, ,3, , , , , , ,    
10,2011,01,1,11,009,01,1,081,01, ,3, , , , , , ,    
10,2011,01,1,11,009,01,1,081,02, ,2, , , , , , ,    
10,2011,01,1,11,009,03,1,083,01, ,3, , , , , , ,    
10,2011,01,1,11,009,03,1,083,02, ,2, , , , , , ,    
10,2011,01,1,11,009,04,1,084,02, ,2, , , , , , ,    
10,2011,01,1,11,009,04,1,084,05, ,1, , , , , , ,    
10,2011,01,1,11,009,04,1,084,06, ,1, , , , , , ,    
10,2011,01,1,11,009,05,1,085,02, ,2, , , , , , ,    
10,2011,01,1,11,009,06,1,086,02, ,2, , , , , , ,    
10,2011,01,1,11,009,07,1,087,02, ,2, , , , , , ,    
10,2011,01,1,11,009,08,1,088,01, ,4, , , , , , ,    
10,2011,01,1,11,009,09,1,089,01, ,3, , , , , , ,    
10,2011,01,1,11,009,09,1,089,02, ,3, , , , , , ,    
10,2011,01,1,11,009,09,1,089,03,1, ,2,3, , , , ,7241
10,2011,01,1,11,009,09,1,089,04, ,4, , , , , , ,    
10,2011,01,2,11,010,01,1,091,01, ,2, , , , , , ,    
10,2011,01,2,11,010,01,1,091,03, ,1, , , , , , ,    
10,2011,01,2,11,010,02,1,092,02, ,2, , , , , , ,    
10,2011,01,2,11,010,02,1,092,03, ,1, , , , , , ,    
10,2011,01,2,11,010,03,1,093,01, ,3, , , , , , ,    
10,2011,01,2,11,010,03,1,093,02, ,2, , , , , , ,    
10,2011,01,2,11,010,03,1,093,05, ,1, , , , , , ,    
10,2011,01,2,11,010,03,1,093,06, ,4, , , , , , ,    
10,2011,01,2,11,010,04,1,094,02, ,2, , , , , , ,    
10,2011,01,2,11,010,04,1,094,03, ,2, , , , , , ,    
10,2011,01,2,11,010,05,1,095,02, ,2, , , , , , ,    
10,2011,01,2,11,010,07,1,097,01, ,3, , , , , , ,    
10,2011,01,2,11,010,07,1,097,02, ,2, , , , , , ,    
10,2011,01,2,11,010,07,1,097,04, ,2, , , , , , ,    
10,2011,01,2,11,010,08,1,098,01, ,2, , , , , , ,    
10,2011,01,2,11,010,08,1,098,03, ,1, , , , , , ,    
10,2011,01,2,11,010,08,1,098,04, ,1, , , , , , ,    
10,2011,01,2,11,010,09,1,099,01, ,2, , , , , , ,    
10,2011,01,2,11,010,09,1,099,02, ,3, , , , , , ,    
10,2011,01,2,11,010,09,1,099,05, ,2, , , , , , ,    
10,2011,01,2,11,010,10,1,100,01, ,2, , , , , , ,    
10,2011,01,2,11,011,01,1,101,01, ,2, , , , , , ,    
10,2011,01,2,11,011,01,1,101,02, ,3, , , , , , ,    
10,2011,01,2,11,011,01,1,101,03, ,3, , , , , , ,    
10,2011,01,2,11,011,01,1,101,05, ,2, , , , , , ,    
10,2011,01,2,11,011,02,1,102,03, ,2, , , , , , ,    
10,2011,01,2,11,011,04,1,104,01, ,4, , , , , , ,    
10,2011,01,2,11,011,04,1,104,02, ,1, , , , , , ,    
10,2011,01,2,11,011,06,1,106,02, ,2, , , , , , ,    
10,2011,01,2,11,011,07,1,107,02, ,2, , , , , , ,    
10,2011,01,2,11,011,07,1,107,03, ,1, , , , , , ,    
10,2011,01,2,11,011,07,1,107,06, ,3, , , , , , ,    
10,2011,01,2,11,011,08,1,108,01, ,3, , , , , , ,    
10,2011,01,2,11,011,08,1,108,02, ,2, , , , , , ,    
10,2011,01,2,11,011,09,1,109,01, ,2, , , , , , ,    
10,2011,01,2,11,011,09,1,109,02, ,2, , , , , , ,    
10,2011,01,2,11,012,01,1,111,01, ,2, , , , , , ,    
10,2011,01,2,11,012,01,1,111,03, ,3, , , , , , ,    
10,2011,01,2,11,012,03,1,113,01, ,3, , , , , , ,    
10,2011,01,2,11,012,05,1,115,04, ,2, , , , , , ,    
10,2011,01,2,11,012,06,1,116,03, ,1, , , , , , ,    
10,2011,01,2,11,012,07,1,117,02, ,2, , , , , , ,    
10,2011,01,2,11,012,07,1,117,03, ,1, , , , , , ,    
10,2011,01,2,11,012,07,1,117,04, ,1, , , , , , ,    
10,2011,01,2,11,012,08,1,118,01, ,4, , , , , , ,    
10,2011,01,2,11,012,08,1,118,02,1, ,2,3, , , , ,0009
10,2011,01,2,11,012,08,1,118,03, ,2, , , , , , ,    
10,2011,01,2,11,012,08,1,118,04,1, ,2,3, , , , ,0009
10,2011,01,2,11,012,09,1,119,02, ,2, , , , , , ,    
10,2011,01,2,11,012,09,2,120,01, ,2, , , , , , ,    
10,2011,01,2,11,012,09,2,120,02, ,2, , , , , , ,    
10,2011,01,2,11,012,10,1,121,02, ,2, , , , , , ,    
10,2011,01,2,11,012,10,2,122,02, ,2, , , , , , ,    
10,2011,01,2,11,012,10,2,122,04, ,3, , , , , , ,    
10,2011,01,2,11,013,01,1,123,01, ,4, , , , , , ,    
10,2011,01,2,11,013,01,1,123,03, ,2, , , , , , ,    
10,2011,01,2,11,013,02,1,124,01, ,4, , , , , , ,    
10,2011,01,2,11,013,03,1,125,06, ,2, , , , , , ,    
10,2011,01,2,11,013,03,1,125,07, ,2, , , , , , ,    
10,2011,01,2,11,013,05,1,127,02, ,2, , , , , , ,    
10,2011,01,2,11,013,05,1,127,04, ,1, , , , , , ,    
10,2011,01,2,11,013,06,1,128,03, ,4, , , , , , ,    
10,2011,01,2,11,013,07,1,129,04, ,1, , , , , , ,    
10,2011,01,2,11,013,07,1,129,07, ,1, , , , , , ,    
10,2011,01,2,11,013,08,1,130,01, ,2, , , , , , ,    
10,2011,01,2,11,013,08,1,130,03, ,2, , , , , , ,    
10,2011,01,2,11,013,08,1,130,04, ,2, , , , , , ,    
10,2011,01,2,11,013,10,1,132,01, ,2, , , , , , ,    
10,2011,01,2,11,013,10,1,132,02, ,2, , , , , , ,    
10,2011,01,2,11,014,01,1,133,01, ,3, , , , , , ,    
10,2011,01,2,11,014,01,1,133,02, ,3, , , , , , ,    
10,2011,01,2,11,014,01,1,133,03, ,2, , , , , , ,    
10,2011,01,2,11,014,02,1,134,01, ,3, , , , , , ,    
10,2011,01,2,11,014,02,1,134,02, ,2, , , , , , ,    
10,2011,01,2,11,014,02,1,134,03, ,1, , , , , , ,    
10,2011,01,2,11,014,02,1,134,04, ,1, , , , , , ,    
10,2011,01,2,11,014,06,1,136,02, ,2, , , , , , ,    
10,2011,01,2,11,014,04,1,137,02,1, ,2,3, , , , ,2231
10,2011,01,2,11,014,04,1,137,04, ,2, , , , , , ,    
10,2011,01,2,11,014,07,1,139,01, ,2, , , , , , ,    
10,2011,01,2,11,014,08,1,140,02, ,2, , , , , , ,    
10,2011,01,2,11,014,08,1,140,03, ,1, , , , , , ,    
10,2011,01,2,11,014,09,1,141,02, ,2, , , , , , ,    
10,2011,01,2,11,014,09,1,141,03, ,1, , , , , , ,    
10,2011,01,2,11,015,01,1,143,04, ,1, , , , , , ,    
10,2011,01,2,11,015,03,1,145,01,1, ,3, , , , , ,    
10,2011,01,2,11,015,04,1,146,02, ,2, , , , , , ,    
10,2011,01,2,11,015,04,1,146,03, ,1, , , , , , ,    
10,2011,01,2,11,015,05,1,147,03, ,9, , , , , , ,    
10,2011,01,2,11,015,05,1,147,04, ,1, , , , , , ,    
10,2011,01,2,11,015,05,1,147,05, ,1, , , , , , ,    
10,2011,01,2,11,015,06,1,148,03, ,1, , , , , , ,    
10,2011,01,2,11,015,07,1,149,02, ,2, , , , , , ,    
10,2011,01,2,11,015,08,1,150,01, ,3, , , , , , ,    
10,2011,01,2,11,015,08,1,150,02, ,3, , , , , , ,    
10,2011,01,2,11,015,08,1,150,06, ,1, , , , , , ,    
10,2011,01,2,11,015,08,1,150,07, ,1, , , , , , ,    
10,2011,01,2,11,015,09,1,151,01, ,3, , , , , , ,    
10,2011,01,2,11,015,09,1,151,02, ,2, , , , , , ,    
10,2011,01,2,11,015,10,1,152,01, ,3, , , , , , ,    
10,2011,01,2,11,015,10,1,152,05, ,1, , , , , , ,    
10,2011,01,2,11,015,10,1,152,06, ,1, , , , , , ,    
10,2011,01,2,11,016,01,1,153,01, ,3, , , , , , ,    
10,2011,01,2,11,016,01,1,153,02, ,2, , , , , , ,    
10,2011,01,2,11,016,02,1,154,02, ,2, , , , , , ,    
10,2011,01,2,11,016,02,1,154,03, ,1, , , , , , ,    
10,2011,01,2,11,016,02,1,154,04, ,1, , , , , , ,    
10,2011,01,2,11,016,03,1,155,02, ,2, , , , , , ,    
10,2011,01,2,11,016,03,1,155,03, ,1, , , , , , ,    
10,2011,01,2,11,016,03,1,155,04, ,1, , , , , , ,    
10,2011,01,2,11,016,04,1,156,03, ,3, , , , , , ,    
10,2011,01,2,11,016,06,1,158,01, ,2, , , , , , ,    
10,2011,01,2,11,016,07,1,159,02, ,2, , , , , , ,    
10,2011,01,2,11,016,07,1,159,03, ,1, , , , , , ,    
10,2011,01,2,11,016,07,1,159,04, ,1, , , , , , ,    
10,2011,01,2,11,016,08,1,160,02, ,2, , , , , , ,    
10,2011,01,2,11,016,08,1,160,04, ,3, , , , , , ,    
10,2011,01,2,11,016,09,1,161,02, ,2, , , , , , ,    
10,2011,01,2,11,016,09,1,161,03, ,1, , , , , , ,    
10,2011,01,2,11,016,09,1,161,04, ,1, , , , , , ,    
10,2011,01,2,11,016,10,1,162,02, ,2, , , , , , ,    
10,2011,01,2,11,016,10,1,162,04, ,1, , , , , , ,    
10,2011,01,2,11,017,01,1,163,02, ,2, , , , , , ,    
10,2011,01,2,11,017,02,1,164,02, ,2, , , , , , ,    
10,2011,01,2,11,017,03,1,165,01, ,2, , , , , , ,    
10,2011,01,2,11,017,03,1,165,03, ,2, , , , , , ,    
10,2011,01,2,11,017,04,1,167,02, ,2, , , , , , ,    
10,2011,01,2,11,017,04,1,167,03, ,9, , , , , , ,    
10,2011,01,2,11,017,05,1,168,01, ,3, , , , , , ,    
10,2011,01,2,11,017,05,1,168,02, ,3, , , , , , ,    
10,2011,01,2,11,017,05,1,168,04, ,2, , , , , , ,    
10,2011,01,2,11,017,06,1,169,01, ,2, , , , , , ,    
10,2011,01,2,11,017,06,1,169,04, ,3, , , , , , ,    
10,2011,01,2,11,017,08,1,171,03, ,1, , , , , , ,    
10,2011,01,2,11,017,09,1,172,02, ,1, , , , , , ,    
10,2011,01,2,11,017,09,1,172,03, ,1, , , , , , ,    
10,2011,01,2,11,017,10,1,173,01, ,3, , , , , , ,    
10,2011,01,2,11,017,10,1,173,02, ,3, , , , , , ,    
10,2011,01,3,11,018,02,1,175,04, ,1, , , , , , ,    
10,2011,01,3,11,018,02,1,175,05, ,1, , , , , , ,    
10,2011,01,3,11,018,03,1,176,02, ,2, , , , , , ,    
10,2011,01,3,11,018,03,1,176,05, ,3, , , , , , ,    
10,2011,01,3,11,018,05,1,178,03, ,1, , , , , , ,    
10,2011,01,3,11,018,05,1,178,04, ,1, , , , , , ,    
10,2011,01,3,11,018,05,1,178,05, ,1, , , , , , ,    
10,2011,01,3,11,018,05,1,178,06, ,1, , , , , , ,    
10,2011,01,3,11,018,06,1,179,01, ,4, , , , , , ,    
10,2011,01,3,11,018,07,1,180,02, ,2, , , , , , ,    
10,2011,01,3,11,018,08,1,181,02, ,2, , , , , , ,    
10,2011,01,3,11,018,08,1,181,03, ,2, , , , , , ,    
10,2011,01,3,11,018,08,1,181,04, , ,2,3, , , , ,7433
10,2011,01,3,11,018,10,1,183,03, ,1, , , , , , ,    
10,2011,02,1,11,019,01,1,001,01, ,3, , , , , , ,    
10,2011,02,1,11,019,01,1,001,03, ,1, , , , , , ,    
10,2011,02,1,11,019,01,1,001,04, ,1, , , , , , ,    
10,2011,02,1,11,019,03,1,003,01, ,3, , , , , , ,    
10,2011,02,1,11,019,03,1,003,02, ,2, , , , , , ,    
10,2011,02,1,11,019,03,1,003,04, ,2, , , , , , ,    
10,2011,02,1,11,019,03,1,003,05, ,1, , , , , , ,    
10,2011,02,1,11,019,03,1,003,06, ,1, , , , , , ,    
10,2011,02,1,11,019,04,1,004,02, ,2, , , , , , ,    
10,2011,02,1,11,019,05,1,005,02, ,2, , , , , , ,    
10,2011,02,1,11,019,05,1,005,03, ,1, , , , , , ,    
10,2011,02,1,11,019,05,1,005,04, ,1, , , , , , ,    
10,2011,02,1,11,019,05,1,005,05, ,1, , , , , , ,    
10,2011,02,1,11,019,07,1,007,01, ,3, , , , , , ,    
10,2011,02,1,11,019,07,1,007,03, ,2, , , , , , ,    
10,2011,02,1,11,019,07,1,007,04, ,1, , , , , , ,    
10,2011,02,1,11,019,08,1,008,01, ,2, , , , , , ,    
10,2011,02,1,11,019,09,1,009,02, ,2, , , , , , ,    
10,2011,02,1,11,019,10,1,010,01, ,3, , , , , , ,    
10,2011,02,1,11,019,10,1,010,02, ,2, , , , , , ,    
10,2011,02,1,11,019,10,1,010,04, ,2, , , , , , ,    
10,2011,02,1,11,019,08,1,028,02, ,2, , , , , , ,    
10,2011,02,1,11,020,03,1,013,01, ,2, , , , , , ,    
10,2011,02,1,11,020,03,1,013,02, ,2, , , , , , ,    
10,2011,02,1,11,020,03,1,013,03, ,2, , , , , , ,    
10,2011,02,1,11,020,05,1,015,02, ,2, , , , , , ,    
10,2011,02,1,11,020,05,1,015,03, ,1, , , , , , ,    
10,2011,02,1,11,020,05,1,015,04, ,1, , , , , , ,    
10,2011,02,1,11,020,05,1,015,05, ,2, , , , , , ,    
10,2011,02,1,11,020,06,1,016,01, ,2, , , , , , ,    
10,2011,02,1,11,020,07,1,017,01, ,2, , , , , , ,    
10,2011,02,1,11,020,07,1,017,03, ,1, , , , , , ,    
10,2011,02,1,11,020,07,1,017,04, ,1, , , , , , ,    
10,2011,02,1,11,020,08,1,018,01, ,9, , , , , , ,    
10,2011,02,1,11,020,08,1,018,02, ,2, , , , , , ,    
10,2011,02,1,11,020,08,1,018,03, ,1, , , , , , ,    
10,2011,02,1,11,020,09,1,019,02, ,2, , , , , , ,    
10,2011,02,1,11,020,09,1,019,03, ,1, , , , , , ,    
10,2011,02,1,11,020,10,1,020,01, ,3, , , , , , ,    
10,2011,02,1,11,020,10,1,020,02, ,2, , , , , , ,    
10,2011,02,1,11,021,01,1,021,01, ,3, , , , , , ,    
10,2011,02,1,11,021,01,1,021,02, ,2, , , , , , ,    
10,2011,02,1,11,021,01,1,021,03, ,9, , , , , , ,    
10,2011,02,1,11,021,01,1,021,05, ,1, , , , , , ,    
10,2011,02,1,11,021,02,1,022,02, ,4, , , , , , ,    
10,2011,02,1,11,021,02,1,022,04, ,2, , , , , , ,    
10,2011,02,1,11,021,02,1,022,06, ,2, , , , , , ,    
10,2011,02,1,11,021,02,1,022,07, ,1, , , , , , ,    
10,2011,02,1,11,021,03,1,023,02, ,4, , , , , , ,    
10,2011,02,1,11,021,04,1,024,02, ,2, , , , , , ,    
10,2011,02,1,11,021,04,1,024,04, ,1, , , , , , ,    
10,2011,02,1,11,021,05,1,025,01, ,3, , , , , , ,    
10,2011,02,1,11,021,05,1,025,03, ,2, , , , , , ,    
10,2011,02,1,11,021,05,1,025,04, ,1, , , , , , ,    
10,2011,02,1,11,021,05,1,025,05, ,1, , , , , , ,    
10,2011,02,1,11,021,06,1,026,01, ,3, , , , , , ,    
10,2011,02,1,11,021,06,1,026,03, ,2, , , , , , ,    
10,2011,02,1,11,021,07,1,027,01, ,3, , , , , , ,    
10,2011,02,1,11,021,07,1,027,02, ,2, , , , , , ,    
10,2011,02,1,11,021,07,1,027,04, ,3, , , , , , ,    
10,2011,02,1,11,021,09,1,029,01, ,2, , , , , , ,    
10,2011,02,1,11,021,09,1,029,02, ,3, , , , , , ,    
10,2011,02,1,11,021,09,1,029,04, ,2, , , , , , ,    
10,2011,02,1,11,021,10,1,030,02, ,2, , , , , , ,    
10,2011,02,1,11,022,02,1,032,02, ,2, , , , , , ,    
10,2011,02,1,11,022,02,1,032,04, ,1, , , , , , ,    
10,2011,02,1,11,022,04,1,034,03, ,1, , , , , , ,    
10,2011,02,1,11,022,05,1,035,02, ,2, , , , , , ,    
10,2011,02,1,11,022,05,1,035,03, ,1, , , , , , ,    
10,2011,02,1,11,022,06,1,036,03, ,1, , , , , , ,    
10,2011,02,1,11,022,06,1,036,04, ,1, , , , , , ,    
10,2011,02,1,11,022,08,1,038,02, ,2, , , , , , ,    
10,2011,02,1,11,022,08,1,038,04, ,2, , , , , , ,    
10,2011,02,1,11,022,10,1,040,04, ,2, , , , , , ,    
10,2011,02,1,11,023,03,1,043,02, ,2, , , , , , ,    
10,2011,02,1,11,023,04,1,044,02, ,2, , , , , , ,    
10,2011,02,1,11,023,05,1,045,04, ,9, , , , , , ,    
10,2011,02,1,11,023,06,1,046,01, ,3, , , , , , ,    
10,2011,02,1,11,023,06,1,046,02, ,2, , , , , , ,    
10,2011,02,1,11,023,06,1,046,05, ,1, , , , , , ,    
10,2011,02,1,11,023,06,1,046,08, ,2, , , , , , ,    
10,2011,02,1,11,023,07,1,047,01, ,3, , , , , , ,    
10,2011,02,1,11,023,08,1,048,02, ,2, , , , , , ,    
10,2011,02,1,11,023,08,1,048,03, ,1, , , , , , ,    
10,2011,02,1,11,023,09,1,049,02, ,2, , , , , , ,    
10,2011,02,1,11,023,09,1,049,03, ,1, , , , , , ,    
10,2011,02,1,11,023,09,1,049,04, ,1, , , , , , ,    
10,2011,02,1,11,023,10,1,050,01, ,3, , , , , , ,    
10,2011,02,1,11,023,10,1,050,03, ,2, , , , , , ,    
10,2011,02,1,11,024,01,1,051,02, ,2, , , , , , ,    
10,2011,02,1,11,024,01,1,051,04, ,1, , , , , , ,    
10,2011,02,1,11,024,03,1,053,02, ,2, , , , , , ,    
10,2011,02,1,11,024,03,1,053,03, ,1, , , , , , ,    
10,2011,02,1,11,024,04,1,054,01, ,3, , , , , , ,    
10,2011,02,1,11,024,04,1,054,02, ,2, , , , , , ,    
10,2011,02,1,11,024,04,1,054,03, ,2, , , , , , ,    
10,2011,02,1,11,024,04,1,054,04, ,2, , , , , , ,    
10,2011,02,1,11,024,04,1,054,06, ,1, , , , , , ,    
10,2011,02,1,11,024,04,1,054,07, ,1, , , , , , ,    
10,2011,02,1,11,024,05,1,055,02, ,2, , , , , , ,    
10,2011,02,1,11,024,06,1,056,02, ,2, , , , , , ,    
10,2011,02,1,11,024,07,1,057,01, ,3, , , , , , ,    
10,2011,02,1,11,024,07,1,057,02, ,3, , , , , , ,    
10,2011,02,1,11,024,08,1,058,02, ,2, , , , , , ,    
10,2011,02,1,11,024,09,1,059,01, ,2, , , , , , ,    
10,2011,02,1,11,024,09,1,059,02, ,2, , , , , , ,    
